tags,tag,score,Popularity,review,sum
church setting,church setting,7.6,3431.0,1061.0,1
church setting ,church setting ,7.3,5089.0,415.0,1
ciminal organization,ciminal organization,8.0,1550.0,1174.0,1
civil exam ,civil exam ,7.7,728.0,5937.0,1
civil servant,civil servant,7.65,1986.0,2213.5,3
civil servant ,civil servant ,7.4,3458.0,429.0,1
clairvoyance,clairvoyance,7.4,924.0,2643.0,1
clandestine operation,clandestine operation,7.2,946.0,5690.0,1
classical music,classical music,7.9,329.5,12313.5,2
cleaning and organizing,cleaning and organizing,9.2,111.0,26058.0,1
clingy ex-boyfriend,clingy ex-boyfriend,7.8,966.0,3624.0,1
clingy female lead,clingy female lead,7.733333333333333,1137.6666666666667,12898.0,5
clingy female lead ,clingy female lead ,7.4,1106.0,3865.0,1
clingy male lead,clingy male lead,7.691666666666666,876.3333333333334,10265.0,10
clingy male lead ,clingy male lead ,7.35,661.0,10729.0,2
closeted,closeted,7.0,1814.0,1647.0,1
clumsy female lead,clumsy female lead,7.5666666666666655,1558.3333333333333,6673.5,6
clumsy male lead,clumsy male lead,7.1,1159.0,3200.0,1
cnblue,cnblue,6.6,723.0,6438.0,1
co-produced,co-produced,8.4,1055.0,3016.0,1
coach male lead,coach male lead,,8010.0,,1
coast guard,coast guard,6.9,2264.0,1726.0,1
cohabitation,cohabitation,7.788636363636365,3156.0454545454545,16330.863636363636,39
cohabitation ,cohabitation ,7.88,1963.0,15824.8,5
cold female lead,cold female lead,7.529411764705882,2193.764705882353,5860.058823529412,14
cold female lead ,cold female lead ,7.766666666666667,936.0,8860.666666666666,3
cold male lead,cold male lead,7.607692307692308,3242.785714285714,5087.307692307692,13
cold male lead ,cold male lead ,7.5,3269.0,729.0,1
cold man/warm woman,cold man/warm woman,7.826666666666666,1288.9333333333334,12683.666666666666,28
cold man/warm woman ,cold man/warm woman ,7.65,3315.0,11721.0,2
cold-hearted female lead,cold-hearted female lead,7.9,2359.0,1515.0,1
color blindness ,color blindness ,7.2,7973.0,109.0,1
coma,coma,8.379999999999999,1909.0,11634.2,5
comedy,comedy,7.976470588235292,7417.35294117647,4813.588235294118,2
comedy ,comedy ,7.88,20763.2,6766.4,4
comfort women,comfort women,8.5,11117.0,55.0,1
coming of age,coming of age,8.171428571428569,591.4285714285714,14277.92857142857,14
company manager,company manager,7.7,1575.0,2575.0,1
company president (ceo) female lead,company president (ceo) female lead,,,,1
company president (ceo) male lead,company president (ceo) male lead,,,,8
company president (ceo) male lead ,company president (ceo) male lead ,,,,2
compassionate female lead,compassionate female lead,8.1,425.0,9543.0,1
competent female lead,competent female lead,7.6375,3628.625,3653.125,8
competent male lead,competent male lead,7.7,3064.0,3049.4,4
competent male lead ,competent male lead ,7.3,1340.0,2977.0,1
competition,competition,7.966666666666665,977.25,14919.833333333334,11
competition ,competition ,7.8,1681.0,2129.0,1
competitive male lead,competitive male lead,8.3,595.0,5515.0,1
composer male lead,composer male lead,7.3,1579.5,5386.5,2
conceited male lead,conceited male lead,7.1,2571.0,1389.0,1
concubine,concubine,8.466666666666667,67138.0,583.0,2
concubine female lead,concubine female lead,8.2,1416.0,1737.0,1
confident female lead,confident female lead,8.5,944.0,3597.0,1
confident male lead,confident male lead,7.75,1581.5,1831.0,2
conflict,conflict,7.609090909090909,11000.818181818182,2263.454545454545,4
conflict ,conflict ,8.149999999999999,2242.5,1956.0,1
conglomerate,conglomerate,7.433333333333334,3568.6,2453.555555555556,8
conglomerate ,conglomerate ,7.35,2793.5,961.0,2
congressman,congressman,7.4,2691.0,800.0,1
consort supporting character,consort supporting character,7.75,6728.0,120.0,2
conspiracy,conspiracy,8.05,1606.5,6444.6,8
conspiracy ,conspiracy ,7.5,3787.0,3054.0,2
contract relationship,contract relationship,7.858823529411764,1997.3333333333333,16509.352941176472,15
contract relationship ,contract relationship ,7.366666666666667,8708.333333333334,168.66666666666666,3
contract worker,contract worker,7.4,3225.0,773.0,1
controlling parent,controlling parent,7.449999999999999,1574.5,24608.5,3
controlling parent ,controlling parent ,7.0,648.0,5883.0,1
cooking,cooking,7.633333333333334,1090.4444444444443,12837.666666666666,9
corrupt legal system,corrupt legal system,7.966666666666668,2173.6666666666665,2608.0,3
corrupt police officer,corrupt police officer,7.2,3933.0,728.0,1
corruption,corruption,8.044117647058824,1668.857142857143,6809.794117647059,66
corruption ,corruption ,8.066666666666666,2348.5,11281.333333333334,4
cosmetic company,cosmetic company,7.433333333333334,2497.0,1866.3333333333333,2
cosmetic company ,cosmetic company ,7.7,1575.0,2575.0,1
cosmetics company,cosmetics company,8.1,287.0,11089.0,1
costume,costume,7.1,1273.0,3763.0,1
counselor female lead,counselor female lead,,8010.0,,1
country manipulation,country manipulation,7.6,1936.0,1135.0,1
countryside female lead,countryside female lead,7.4,2980.0,1325.0,1
countryside setting,countryside setting,7.6,1569.0,2578.75,4
courtroom setting,courtroom setting,8.233333333333333,1234.0,4034.3333333333335,2
courtroom setting ,courtroom setting ,7.8,2134.0,981.0,1
crime,crime,8.042857142857144,1786.928571428571,5584.928571428572,3
crime against children,crime against children,7.825,2790.25,1175.0,3
crime against children ,crime against children ,7.8,4375.0,522.0,1
crime against women,crime against women,7.9,2607.0,995.0,1
crime boss,crime boss,8.7,115.0,30400.0,1
crime solving duo,crime solving duo,8.333333333333334,1074.0,8044.0,3
criminal organization,criminal organization,7.7,1655.0,1852.0,1
criminal profiler,criminal profiler,8.225,756.25,9668.0,3
criminal profiler female lead,criminal profiler female lead,7.8,483.0,6207.0,1
criminal profiler male lead,criminal profiler male lead,7.8,483.0,6207.0,1
criminal supporting character,criminal supporting character,8.0,1270.3333333333333,4057.6666666666665,3
cross-dressing,cross-dressing,7.81875,928.625,15764.5625,15
cross-dressing ,cross-dressing ,7.3,1856.0,1800.0,1
crossworlds traveler,crossworlds traveler,8.45,301.5,40928.5,2
cuddly couple,cuddly couple,7.4,4799.0,548.0,1
cult,cult,8.05,1052.375,11776.75,6
cupid,cupid,7.1,945.0,4432.0,1
curse,curse,7.966666666666666,922.6666666666666,5460.0,3
customer,customer,7.65,3481.333333333333,6311.0,1
customer service staff,customer service staff,7.65,3174.0,6311.0,2
cyber bullying,cyber bullying,7.5,842.0,6197.0,1
cyberbullying,cyberbullying,8.6,11.0,67641.0,2
cynical male lead,cynical male lead,7.9,907.0,2721.0,1
damsel in distress,damsel in distress,7.3,3177.0,1063.0,1
dance,dance,7.65,1964.5,1401.5,1
dancer female lead,dancer female lead,7.9,1817.0,1559.0,1
dangerous love,dangerous love,7.3,6542.0,243.0,1
dark fantasy,dark fantasy,7.699999999999999,1273.5,6659.0,2
dark fiction,dark fiction,7.68,2482.7,4006.0,10
dark past,dark past,7.3,6380.0,386.0,1
data manipulation ,data manipulation ,8.4,119.0,19959.0,1
deadly mission,deadly mission,8.2,398.0,11182.0,1
deaf male lead,deaf male lead,8.1,620.0,7057.0,1
deafness,deafness,8.1,620.0,7057.0,1
death,death,7.912977099236643,3505.0367647058824,7417.152671755725,92
death ,death ,7.668000000000003,5053.980392156863,5524.08,12
death game,death game,8.3,57.0,44600.5,2
death of a brother,death of a brother,7.666666666666667,4508.666666666667,563.0,3
death of a daughter,death of a daughter,7.5,1432.0,1823.0,1
death of a family,death of a family,7.3,99999.0,20.0,1
death of a father,death of a father,7.542857142857143,3945.571428571429,1956.857142857143,6
