tag,0
obsessive-compulsive disorder,obsessive-compulsive disorder
older man/younger woman ,older man/younger woman 
"""co-workers' relationship""","""co-workers' relationship"""
broker male lead,broker male lead
public officer supporting character,public officer supporting character
loan shark supporting character,loan shark supporting character
janitor supporting character,janitor supporting character
janitor female lead ,janitor female lead 
cross-dressing,cross-dressing
gender bender,gender bender
family pressure ,family pressure 
webtoon artist female lead,webtoon artist female lead
body transformation,body transformation
magic,magic
"""best friends' relationship ""","""best friends' relationship """
obsessive male lead,obsessive male lead
soulmates,soulmates
lgbtq+,lgbtq+
obsession,obsession
aunt-nephew relationship,aunt-nephew relationship
psychological,psychological
missing person ,missing person 
omnibus,omnibus
episodic format ,episodic format 
murder ,murder 
melodrama,melodrama
illness,illness
heart transplant ,heart transplant 
conspiracy ,conspiracy 
heir,heir
childish male lead,childish male lead
steamy kiss ,steamy kiss 
north korean,north korean
secretary female lead,secretary female lead
narcissistic male lead,narcissistic male lead
criminal profiler female lead,criminal profiler female lead
criminal profiler male lead,criminal profiler male lead
serial killer supporting character,serial killer supporting character
criminal supporting character,criminal supporting character
non-mdl remake ,non-mdl remake 
surgeon,surgeon
weather forecaster,weather forecaster
office worker,office worker
oblivious male lead ,oblivious male lead 
actor male lead,actor male lead
theater,theater
military abuse,military abuse
ptsd,ptsd
desertion,desertion
harassment,harassment
humiliation ,humiliation 
youtuber male lead,youtuber male lead
retail clerk female lead,retail clerk female lead
fraternal twin female lead ,fraternal twin female lead 
leadership,leadership
balhae dynasty,balhae dynasty
warlord,warlord
royalty ,royalty 
enemies to friends,enemies to friends
airhead female lead,airhead female lead
slice of life ,slice of life 
multilingual,multilingual
healthy mains’ relationship,healthy mains’ relationship
eccentric male lead ,eccentric male lead 
separated family,separated family
swordswoman,swordswoman
death of a parent,death of a parent
escaping,escaping
martial arts master,martial arts master
older woman/younger man ,older woman/younger man 
hallucination,hallucination
monsters,monsters
shamanism,shamanism
matchmaking,matchmaking
life lesson,life lesson
family conflict,family conflict
elder female lead,elder female lead
generational conflict ,generational conflict 
student ,student 
"""roommates' relationship""","""roommates' relationship"""
dormitory,dormitory
long time friends ,long time friends 
sejong the great,sejong the great
sword-fight,sword-fight
martial arts,martial arts
secret organization,secret organization
adapted from a novel ,adapted from a novel 
empathic male lead,empathic male lead
righteous male lead,righteous male lead
corrupt legal system,corrupt legal system
warm male lead ,warm male lead 
fight,fight
delivery man/woman,delivery man/woman
alien ,alien 
filmed abroad,filmed abroad
earthquake ,earthquake 
conspiracy,conspiracy
blue house,blue house
social commentary,social commentary
terrorism,terrorism
love at first sight,love at first sight
misunderstanding ,misunderstanding 
comedy,comedy
surgeon female lead,surgeon female lead
doctor-patient relationship,doctor-patient relationship
police department,police department
return from abroad,return from abroad
military doctor,military doctor
death of an adoptive father,death of an adoptive father
freedom,freedom
artist ,artist 
attempted murder ,attempted murder 
classical music,classical music
optimistic female lead,optimistic female lead
energetic female lead,energetic female lead
bright female lead ,bright female lead 
persevering female lead,persevering female lead
perseverance,perseverance
incurable disease,incurable disease
euthanasia,euthanasia
thoracic surgeon male lead,thoracic surgeon male lead
middle-aged male lead,middle-aged male lead
prosecutor female lead,prosecutor female lead
genius male lead,genius male lead
