actor,cast,Popul,score
Jeon Soo Kyung,3,5264.0,7.333333333333333
Jeon Sung Woo,2,1134.0,8.45
Jeon Tae Soo,1,2081.0,8.2
Jeon Woon,1,99999.0,4.0
Jeon Yang Ja,1,7754.0,7.3
Jeon Yeo Been,4,1518.75,8.75
Jeon Yu Na,1,1055.0,8.4
Jeong Bo Seok,10,4318.8,7.709999999999999
Jeong Hee Tae,1,4804.0,7.2
Jeong Jae Hyun,1,606.0,8.1
Jeong Seon Yul,1,6080.0,7.4
Jeong Yun Ho,1,332.0,8.1
Ji  Il Joo,3,33550.0,7.7
Ji Chang Wook,16,944.75,7.874999999999999
Ji Eun Sung,2,12324.0,7.35
Ji Gun Woo,2,705.5,7.9
Ji Hye Won,1,267.0,8.4
Ji Hyun Woo,13,9921.384615384615,7.492307692307692
Ji Jin Hee,12,2915.1666666666665,7.525000000000001
Ji Joo Yeon,1,7015.0,7.3
Ji Min Hyuk,1,939.0,7.9
Ji Seung Hyun,5,818.8,8.02
Ji Soo Won,2,4998.5,7.449999999999999
Ji Sung,13,1630.9411764705883,7.911764705882353
Ji Woo,3,3162.6,7.561538461538461
Ji Yi Soo,1,3535.0,6.3
Jin  Ji Hee,3,3030.6666666666665,7.599999999999999
Jin Goo,8,1808.6666666666667,7.761904761904762
Jin Gun,1,866.0,7.3
Jin Ha,1,1055.0,8.4
Jin Hee Kyung,6,17179.0,7.916666666666665
Jin Ho Eun,1,3968.0,7.4
Jin Hyuk,1,6804.529411764706,7.876470588235293
Jin Jae Young,1,99999.0,6.9
Jin Joo Hyung,1,3754.0,7.6
Jin Ki Joo,6,1006.6666666666666,8.133333333333333
Jin Kyung,8,903.7,8.01
Jin Se Yeon,11,1653.5454545454545,7.7
Jin Seo Yun,2,887.5,8.2
Jin Seon Kyu,1,1021.0,8.7
Jin Tae Hyun,6,22642.0,7.266666666666667
Jin Ye Ju,2,729.5,7.449999999999999
Jin Ye Sol,2,8178.5,6.949999999999999
Jin Yi Han,8,3265.0,7.4875
Jo  Hyun Sook,1,9959.0,7.9
Jo  Min Ki,3,33701.0,7.8
Jo  Sang Gu,1,4366.0,7.0
Jo  Woo Jin,3,1493.0,8.8
Jo A Young,1,2735.0,6.9
Jo An,3,36461.333333333336,7.633333333333333
Jo Bo Ah,10,563.5,7.849999999999999
Jo Bok Rae,2,1363.0,7.7
Jo Dal Hwan,5,3463.0,7.340000000000001
Jo Dong Hyuk,5,2731.4,7.960000000000001
Jo Dong In,1,668.0,8.5
Jo Duk Je,1,99999.0,7.3
Jo Eun Ji,2,634.0,8.05
Jo Han Chul,6,480.5,8.48
Jo Han Joon,1,8847.0,7.4
Jo Han Sun,3,5934.333333333333,7.1000000000000005
Jo Hee Bong,5,1566.0,7.880000000000001
Jo Hwi Joon,2,1136.5,7.199999999999999
Jo Hye Joo,1,353.0,7.8
Jo Hyun Chul,3,432.6666666666667,8.566666666666666
Jo Hyun Jae,7,17603.85714285714,7.485714285714285
Jo Jae Hyun,12,12426.5,7.491666666666667
Jo Jae Yoon,7,720.7142857142857,8.114285714285714
Jo Jin Woong,4,1053.75,7.925
Jo Jung Suk,8,592.25,8.100000000000001
Jo Kwon,1,3225.0,7.4
Jo Kyung Hoon,1,99999.0,6.6
