actors,장르,점수별,인기별,리뷰수,작품수
Han So Hee,Han So Hee,8.200000000000001,284.85714285714283,19360.714285714286,7
Han So Young,Han So Young,6.8,1641.0,1638.0,1
Han Soo Yeon,Han Soo Yeon,7.3,1834.0,1587.0,1
Han Sun Hwa,Han Sun Hwa,7.9125,1248.5,9326.0,8
Han Ye Ri,Han Ye Ri,7.999999999999999,1194.5,6670.666666666667,6
Han Ye Seul,Han Ye Seul,7.528571428571429,1530.857142857143,5324.857142857143,7
Han Ye Won,Han Ye Won,7.3,8651.0,103.0,1
Han Yi Jin,Han Yi Jin,7.0,2632.0,796.0,1
Han Young,Han Young,7.199999999999999,6678.5,309.5,1
Han Young Soo,Han Young Soo,6.8,4051.0,471.0,1
Henry Lau,Henry Lau,8.3,42.0,42528.0,1
Heo Hyung Kyu,Heo Hyung Kyu,7.9,1281.0,2265.0,1
Heo Jae Ho,Heo Jae Ho,7.9,799.5,4778.5,2
Heo Ji Won,Heo Ji Won,8.1,896.0,4361.0,1
Heo Joon Ho,Heo Joon Ho,8.271428571428572,14759.42857142857,6766.571428571428,7
